,sector,type,usd_per_ton,output,share_exporting_firms,cutoff,supply_data,country,country_ISO,final_demand,export
0,AUS_pdr,PDR,1000,262.35,0.000266819,0,USD,AUS,AUS,0.090213441,0.07
1,AUS_wht,WHT,1000,7732.7,0.72163022,0,USD,AUS,AUS,998.2938352,5580.15
2,AUS_gro,GRO,1000,3074.1,0.617305878,0,USD,AUS,AUS,1000.016212,1897.66
3,AUS_v_f,V_F,1000,7414.3,0.264808546,0,USD,AUS,AUS,3505.712799,1963.37
4,AUS_osd,OSD,1000,3062.7,0.506918732,0,USD,AUS,AUS,29.12439147,1552.54
5,AUS_c_b,C_B,1000,1163.9,0.000223387,0,USD,AUS,AUS,43.17132276,0.26
6,AUS_pfb,PFB,1000,2465.5,0.738450619,0,USD,AUS,AUS,755.6963045,1820.65
7,AUS_ocr,OCR,1000,473.49,0.927284631,0,USD,AUS,AUS,96.35351099,439.06
8,AUS_ctl,CTL,1000,13397,0.103130552,0,USD,AUS,AUS,672.3809382,1381.64
9,AUS_oap,OAP,1000,4589.4,0.23430078,0,USD,AUS,AUS,1474.127894,1075.3
10,AUS_rmk,RMK,1000,4412,0.000428377,0,USD,AUS,AUS,329.8963505,1.89
11,AUS_wol,WOL,1000,3804.5,0.574890262,0,USD,AUS,AUS,904.7484821,2187.17
12,AUS_frs,FRS,1000,5373.3,0.0518899,0,USD,AUS,AUS,289.2347748,278.82
13,AUS_fsh,FSH,1000,3895.5,0.253492491,0,USD,AUS,AUS,969.7320147,987.48
14,AUS_coa,COA,1000,62982,0.889768347,0,USD,AUS,AUS,378.041063,56039.39
15,AUS_oil,OIL,1000,13193,0.267369059,0,USD,AUS,AUS,0.367566217,3527.4
16,AUS_gas,GAS,1000,18283,0.62963518,0,USD,AUS,AUS,1219.772322,11511.62
17,AUS_oxt,OXT,1000,115060,0.636589171,0,USD,AUS,AUS,2593.222209,73245.95
18,AUS_cmt,CMT,1000,15511,0.647646831,0,USD,AUS,AUS,8973.252786,10045.65
19,AUS_omt,OMT,1000,3091.6,0.097706689,0,USD,AUS,AUS,1609.038953,302.07
20,AUS_vol,VOL,1000,2226.3,0.199555316,0,USD,AUS,AUS,917.9946669,444.27
21,AUS_mil,MIL,1000,13805,0.158641072,0,USD,AUS,AUS,7199.82055,2190.04
