labels,sector,type,essential,usd_per_ton,output,final_demand,share_exporting_firms,cutoff,supply_data,country,country_ISO
AFG_Agriculture,AFG_Agriculture,agriculture,TRUE,1000,4520458.258,2982180.361,0.247536872,0,USD,Afghanistan,AFG
AFG_Fishing,AFG_Fishing,agriculture,TRUE,1000,184252.0377,102197.6484,0.178551504,0,USD,Afghanistan,AFG
AFG_Mining and Quarrying,AFG_Mining and Quarrying,mining,TRUE,1000,279435.9907,22295.61648,0.146158856,0,USD,Afghanistan,AFG
AFG_Food & Beverages,AFG_Food & Beverages,agriculture,TRUE,1000,1331928.912,849669.095,0.004592289,0,USD,Afghanistan,AFG
AFG_Textiles and Wearing Apparel,AFG_Textiles and Wearing Apparel,manufacturing,TRUE,1000,302167.7158,149490.8607,0.078026449,0,USD,Afghanistan,AFG
AFG_Wood and Paper,AFG_Wood and Paper,manufacturing,TRUE,1000,798755.3811,72214.75248,0.069013203,0,USD,Afghanistan,AFG
"AFG_Petroleum, Chemical and Non-Metallic Mineral Products","AFG_Petroleum, Chemical and Non-Metallic Mineral Products",utility,TRUE,1000,1963651.861,384283.3688,0.014442104,0,USD,Afghanistan,AFG
AFG_Metal Products,AFG_Metal Products,manufacturing,TRUE,1000,831319.8357,30121.27595,0.056000166,0,USD,Afghanistan,AFG
AFG_Electrical and Machinery,AFG_Electrical and Machinery,utility,TRUE,1000,2146565.997,722232.3799,0.059844811,0,USD,Afghanistan,AFG
AFG_Transport Equipment,AFG_Transport Equipment,utility,TRUE,1000,999794.8786,496008.2853,0.061738863,0,USD,Afghanistan,AFG
AFG_Other Manufacturing,AFG_Other Manufacturing,manufacturing,TRUE,1000,350788.8134,135386.6742,0.077882137,0,USD,Afghanistan,AFG
AFG_Recycling,AFG_Recycling,utility,TRUE,1000,109201.1133,78956.0945,0.103584277,0,USD,Afghanistan,AFG
"AFG_Electricity, Gas and Water","AFG_Electricity, Gas and Water",utility,TRUE,1000,713972.0209,304085.0359,0.083505212,0,USD,Afghanistan,AFG
AFG_Construction,AFG_Construction,construction,TRUE,1000,2888367.206,1900858.637,0.070665723,0,USD,Afghanistan,AFG
AFG_Maintenance and Repair,AFG_Maintenance and Repair,construction,TRUE,1000,103250.0154,68959.50122,0.145849449,0,USD,Afghanistan,AFG
AFG_Wholesale Trade,AFG_Wholesale Trade,trade,TRUE,1000,1770739.71,780350.3456,0.049086663,0,USD,Afghanistan,AFG
AFG_Retail Trade,AFG_Retail Trade,trade,TRUE,1000,1624599.813,1363418.167,0.0733985,0,USD,Afghanistan,AFG
AFG_Hotels and Restraurants,AFG_Hotels and Restraurants,service,TRUE,1000,1207704.916,933463.2953,0.078761843,0,USD,Afghanistan,AFG
AFG_Transport,AFG_Transport,construction,TRUE,1000,2908158.843,1558251.017,0.074451645,0,USD,Afghanistan,AFG
AFG_Post and Telecommunications,AFG_Post and Telecommunications,service,TRUE,1000,3286882.042,1882053.408,0.089787489,0,USD,Afghanistan,AFG
AFG_Finacial Intermediation and Business Activities,AFG_Finacial Intermediation and Business Activities,service,TRUE,1000,7705865.669,1987929.061,0.015432382,0,USD,Afghanistan,AFG
AFG_Public Administration,AFG_Public Administration,service,TRUE,1000,2001075.343,1800680.933,0.077506992,0,USD,Afghanistan,AFG
